,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag
6515,GraceRachmany,krrisis,mentioning praise commons stack recent overview article https www coindesk com daos 2020 good bad ugly,Telegram,commons stack,0.0018016378138746266,0.012010918759164178,0.15013648448955222,0.5429167101537095,0.2719651614720292,0.021169087311670325,Sunday,TEC1,#2 cluster
6516,markop,freedumbs00,keeping hard problem solve bringing commons visual place,Telegram,te praise,0.0017261778466059101,0.01501024214439922,0.1250853512033268,0.5632959307977538,0.28217379552370886,0.012708502484205507,Tuesday,TEC5,#2 cluster
6517,markop,iviangita,figma tec website,Telegram,te praise,0.0017396708482907914,0.013047531362180937,0.14497257069089928,0.5499985285225827,0.2755126814925659,0.014729017083480447,Sunday,TEC15,#2 cluster
6518,markop,Tonga2020,amazing animation compilation images tec branding,Telegram,te praise,0.0018031359836502454,0.012020906557668305,0.15026133197085378,0.543368177923517,0.2721913167968125,0.020355130767498276,Saturday,TEC15,#2 cluster
6519,markop,JessicaZartler,continuing hard work making branding,Telegram,te praise,0.0016569459891514053,0.013807883242928379,0.1380788324292838,0.5483755989640843,0.2746997017062359,0.02338103766831649,Wednesday,TEC1,#2 cluster
6520,markop,zeptimusQ,giving feedback yb overlay creating logos looks fantastic,Telegram,te praise,0.0019450512688926943,0.009725256344463473,0.16208760574105788,0.5285419572887109,0.2647643663693963,0.032935762987478766,Wednesday,TEC1,#2 cluster
6521,markop,GriffGreen,help reaching awesome milestone going release simulator donors gitcoin grant tonight everything merged master starting look dreamy https sim commonsstack org,Telegram,cs ddev team,0.0017394185286258741,0.007609956062738201,0.18118943006519525,0.49024610156013715,0.24558068975617325,0.07363440402713028,Wednesday,TEC2,#2 cluster
6522,markop,GriffGreen,joining commons stack simulator sync continuing push project finish line,Telegram,cs ddev team,0.0012090128744488525,0.007556330465305329,0.2015021457414754,0.4579621875295469,0.22940859617283255,0.10236172721639099,Wednesday,TEC5,#2 cluster
6523,markop,iviangita,hitting first milestone commons simulator,Telegram,te praise,0.0020182939884225677,0.008409558285094033,0.1401593047515672,0.4900236303230394,0.24546924645379264,0.1139199661980841,Sunday,TEC5,#2 cluster
6524,markop,GriffGreen,joining commons stack simulator sync yesterday continuing push project finish line,Telegram,cs ddev team,0.0013854636345706065,0.008659147716066292,0.17318295432132583,0.4660242533906822,0.23344715492901227,0.1173010260083427,Wednesday,TEC5,#2 cluster
6525,markop,GriffGreen,donating commons stack iteration gitcoin grant helping us raise 14 000 dai build future high functioning public goods focused economies,Telegram,commons stack,0.0014945236094916264,0.009340772559322667,0.15567954265537778,0.4710072224860814,0.23594329107236572,0.12653464761736072,Wednesday,TEC2,#2 cluster
6526,JessicaZartler,Tonga2020,amazing animation compilation images tec branding,Telegram,te praise,0.00197553613290211,0.00987768066451055,0.16462801107517583,0.536825815893831,0.26891402862434577,0.01777892760923469,Saturday,TEC15,#2 cluster
6527,JessicaZartler,GriffGreen,fun blog post round,Telegram,te praise,0.0016787158471289506,0.010491974044555942,0.17486623407593235,0.5290564054412836,0.2650220707187493,0.018884599872349937,Friday,TEC1,#2 cluster
6528,JessicaZartler,JessicaZartler,spending hours talking providing guidance feedback tec website design marko,Telegram,te praise,0.0019581294124969982,0.009790647062484992,0.16317745104141654,0.5320957698431003,0.2665445900889761,0.026433412551525145,Monday,TEC1,#2 cluster
